Apple	Banana	Apricot	Atemoya
Avocados	Blueberry	Blackcurrant	Ackee
Cranberry	Cantaloupe	Cherry	Black sapote/Chocolate pudding fruit
Dragonfruit	Dates	Cherimoya	Buddha's hand fruit
Finger lime	Fig	Coconut	Cape gooseberry/Inca berry/Physalis
Grapefruit	Gooseberries	Custard apple/Sugar apple/Sweetsop	Chempedak
Hazelnut	Honeyberries	Dragon fruit	Durian
Horned melon	Hog plum	Egg fruit	Feijoa/Pineapple guava/Guavasteen
Indian fig	Ice apple	Guava	Fuyu Persimmon
Jackfruit	Jujube	Honeydew melon	Jenipapo
Kiwi	Kabosu	Kiwano	Kaffir lime/Makrut lime
Lime	Lychee	Longan	Langsat
Mango	Mulberry	Pear	Lucuma
Muskmelon	Naranjilla	Passion fruit	Mangosteen
Nectarine	Nance	Quince	Medlar fruit
Olive	Oranges	Ramphal	Mouse melon
Papaya	Peach	Rose apple/Water apple	Noni fruit
Pomegranate	Pineapple	Rambutan	Snake fruit/Salak
Raspberries	Strawberries	Starfruit/Carambola	Soursop
Tangerine	Watermelon	Sapota	Star apple
Orange	Blood orange
Lemon	Kaffir lime
Sweet lime	Pomelo
Tangerine	Sudachi
Ugli fruit	Yuzu fruit
Tangelo	Kumquat
Mandarin orange	Grapefruit
Ackee	Longan
Avocado	Lychee
Banana	Mango
Carambola	Mangosteen
Coconut	Muskmelon
Custard apple	Papaya
Dragon fruit	Passion fruit
Durian	Persimmon
Fig	Pineapple
Grapes	Pomegranate
Gooseberries	Rambutan
Guava	Rose apple
Jackfruit	Star apple
Kiwi	Watermelon
Banana	Pineapple
Mango	Yellow pear
Papaya	Egg fruit
Guava	Jackfruit
Must melon	Canary melon
Durian	Yellow peach
Grapes	Yellow watermelon
Pomelo	Yellow dragon fruit
Yellow apple	Yellow plum/Lemon plum
Golden kiwi	Husk cherry
Passion fruit	Yellow fig
Quince	Cantaloupe/Sweet melon/Rock melon
Green apple	Breadfruit
Avocado	Durian
Green grapes	Jackfruit
Pear	Sugar apple/Custard apple
Green gooseberry	Marang
Kiwi fruit	Guava
Honeydew melon	Jocote
Pomelo	Star fruit
Soursop	Feijoa
True medlar/Greengage plum	Chempedak
Ugli fruit	Noni fruit
Osage orange	Chayote
